,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
343,PR ITALIAN BISTRO,2,1,1,1,1
344,PRIMO PIZZA INC,2,0,2,2,0
345,PRIVILEGE,1,1,0,0,1
346,PROSECCO,1,0,1,1,0
347,PROTEIN BAR & KITCHEN,2,1,1,1,1
348,QUETTA SAJJI HOUSE,2,0,2,2,0
349,RACINE PLUMBING,2,1,1,2,0
350,RAJ DARBAR,2,1,1,1,1
351,RAKKAN RAMEN,2,2,0,1,1
352,"RALPH LAUREN RETAIL, INC",1,1,0,1,0
353,RECIPE FOR CHANGE,1,0,1,0,1
354,RESTAURANT EL RANCHITO,2,2,0,1,1
355,RICA AREPA,1,1,0,0,1
356,RICE AND NOODLES THAI FOOD,1,1,0,0,1
357,RICOBENE'S,1,0,1,1,0
358,RINCONCITO COLUMBIANO LATIN CHINESE,1,1,0,0,1
359,RITUAL COFFEEHOUSE,1,1,0,0,1
360,"RITZ-CARLTON RESIDENCES, CHICAGO",1,0,1,1,0
361,ROCKWELL'S NEIGHBORHOOD GRILL,1,1,0,0,1
362,ROCKY'S TACOS,2,2,0,1,1
363,ROSATI'S PIZZA,1,0,1,1,0
364,ROYAL FOOD MARKET,1,0,1,0,1
365,ROYAL SONESTA CHICAGO RIVER NORTH,1,0,1,1,0
366,ROZANA,2,0,2,1,1
367,"RYLON'S SMOKEHOUSE PARTNERS, LLP",1,0,1,1,0
368,RYO SUSHI,1,1,0,0,1
369,S2 SOUTH SIDE BAR & GRILL,1,0,1,1,0
370,SAFARI SOMALI CUISINE,2,0,2,1,1
371,SAIGON PHO,2,1,1,2,0
372,SEOUL TACO,1,0,1,1,0
373,SHABU PLUS CHINATOWN,2,0,2,0,2
374,SHAKE SHACK,2,0,2,2,0
375,SHARK FISH AND CHICKEN,1,1,0,0,1
376,SHARKS EXPRESS OF KENWOOD,2,0,2,1,1
377,SHARKS FISH & CHICKEN,3,0,3,2,1
378,SHAWARM & GRILL,1,0,1,1,0
379,SHINE RESTAURANT,1,0,1,0,1
380,SHRIMP FISH & CHICKEN SEAFOOD MARKET,1,1,0,0,1
381,SI-PIE,1,1,0,0,1
382,SIENA TAVERN,1,0,1,1,0
383,SINYA,1,0,1,1,0
384,SMASHBURGER #1733,1,0,1,1,0
385,SO SOULFUL EATERY,2,0,2,2,0
386,SOCIAL SIP,1,1,0,1,0
387,SOPRAFFINA MARKET CAFE,1,1,0,1,0
388,SOUTHSHORE BBQ-JERK,1,0,1,1,0
389,SPICY BEE,1,0,1,0,1
390,SPIN CHICAGO,1,0,1,0,1
391,SS JERK,2,1,1,2,0
392,STAR GYROS,1,0,1,0,1
393,STARBUCKCOFFEE #82724,2,0,2,1,1
394,STARBUCKS COFFEE # 13468,1,0,1,1,0
395,STARBUCKS COFFEE #11125,1,1,0,0,1
396,STARBUCKS COFFEE #226,1,0,1,0,1
397,STARBUCKS COFFEE #228,1,0,1,1,0
398,STARBUCKS COFFEE #2337,1,1,0,0,1
399,STARBUCKS COFFEE #25092,2,0,2,2,0
400,STARBUCKS COFFEE #49695,1,1,0,0,1
401,STARBUCKS COFFEE #80599,1,1,0,0,1
402,STOCKS & BLONDES BAR & GRILLE,1,1,0,1,0
403,SUBO FILIPINO KITCHEN,1,0,1,0,1
404,SUBWAY,9,5,4,3,6
405,SUBWAY # 25502,2,0,2,2,0
406,SUBWAY 28330,1,1,0,0,1
407,SUMMER HOUSE (T2 MAIN),1,0,1,1,0
408,SUNSET PHO CAFFE,1,1,0,0,1
409,"SUSHI AVENUE, INC.",1,1,0,0,1
410,"SWEET CAFE CHICAGO, INC.",1,0,1,1,0
411,Similan Thai - Sushi Restaurant,2,0,2,1,1
412,Starbucks Coffee #69076,1,1,0,0,1
413,TACO MAX CANTINA,1,0,1,0,1
414,TANAKA RAMEN,1,1,0,0,1
415,TANTA,1,0,1,1,0
416,TAO CHICAGO,1,1,0,0,1
417,TAQUERIA ATOTONILCO,1,1,0,0,1
418,TAQUERIA LA PLACITA,1,1,0,0,1
419,TAQUERIA SIGLO XX,1,0,1,1,0
420,TAVERN ON RUSH,3,1,2,0,3
421,THE CASINO,1,1,0,0,1
422,THE CONGRESS HOTEL,1,1,0,0,1
423,THE DRUNKEN BEAN,1,0,1,0,1
424,THE EGG ROLL FACTORY LLC,2,0,2,1,1
425,THE FAIRMONT CHICAGO,1,1,0,0,1
426,THE GRAY,2,0,2,0,2
427,THE GREENHOUSE,1,0,1,1,0
428,THE LITTLE SHERPA,1,0,1,0,1
429,THE MAIN PIZZA,1,1,0,0,1
430,THE RINK FITNESS FACTORY,1,0,1,1,0
431,THE VIG WEST LOOP,2,0,2,0,2
432,THE WELLSLEY,1,0,1,1,0
433,THEMART CONFERENCE,1,1,0,0,1
434,THEORY SPORT.DINE.LOUNGE,1,0,1,0,1
435,THIMI'S EMPANADAS,1,1,0,0,1
436,TIFFANYS,1,1,0,0,1
437,TIOS TAMALES & CATERING,1,0,1,1,0
438,TOM LEE'S CHOP SUEY,1,0,1,1,0
439,TORO JAPANESE RESTAURANT INC,2,0,2,1,1
440,TRE KRONOR RESTAURANT,2,1,1,1,1
441,TYPICA CAFE CORP,1,1,0,1,0
442,The Albion Manor,1,1,0,0,1
443,UNICO LATIN FUSION CONTEMPORARY CUISINE,2,1,1,1,1
444,URBAN LUXE CAFE INC.,1,1,0,0,1
445,VERMILION,2,1,1,1,1
446,VILLA PALERMO INC,1,0,1,1,0
447,VINTEA,1,0,1,1,0
448,VISIONS,1,0,1,1,0
449,WAJO CUPS,1,1,0,1,0
450,WALDO COONEY'S PIZZA,2,0,2,0,2
451,"WARE RANCH STEAK HOUSE, INC",1,0,1,0,1
452,WENDY'S #11743,1,1,0,0,1
453,"WENDY'S PROPERTIES, LLC",1,0,1,0,1
454,WEST END TATA'S PIZZA,1,0,1,0,1
455,WHALE FISH AND CHICKEN INC,3,1,2,3,0
456,WHITE CASTLE SYSTEM INC #90,1,0,1,0,1
457,WILD BLOSSOM II & SOUTH WORKS BREWING CO.,2,1,1,1,1
458,WILLIE LILL'S,1,0,1,1,0
459,WILLIES N' WAFFLES,1,0,1,1,0
460,WINDY CITY SMOKED MEATS,2,1,1,1,1
461,WING WAH CHINESE RESTAURANT,1,0,1,1,0
462,WING WAH CHINESE RESTAURANT II INC.,1,1,0,0,1
463,WING WAH LAU,2,1,1,1,1
464,"WINGS OVER HARRISON, LLC/WINGSTOP RESTAURANTS, INC",1,0,1,0,1
465,WOK CUISINE,1,1,0,1,0
466,WOK!  YOU WANT,2,1,1,1,1
467,WOO CHON RESTAURANT,1,1,0,0,1
468,WOW BAO,1,0,1,0,1
469,WOW PIZZERIA,2,2,0,1,1
470,Wild Goose Bar and Grill,2,1,1,0,2
