,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
172,38 LITTLE ANGELS HOME DAYCARE,16,8,8,5,11
173,3811 PIRAMID INC,12,8,4,7,5
174,"3976 N ELSTON, INC.",3,2,1,1,2
175,3GS BBQ RESTAURANT,5,0,5,3,2
176,3JJJ'S BETTER TASTE JAMAICAN JERK RESTAURANT,12,6,6,5,7
177,3RD BASE STEAK AND HOAGIES LLC,2,0,2,1,1
178,4 & 1 CANDY STORE,2,0,2,1,1
179,4 - CAMINOS,4,2,2,2,2
180,4 BANDERAS,3,0,3,3,0
181,4 BROTHERS DISCOUNT STORE,2,0,2,1,1
182,4 Brothers Food Mart Corp.,4,2,2,2,2
183,4 CAMINOS RESTAURANT INC.,3,2,1,3,0
184,"4 EVER YOUNG DAY CARE,INC.",16,6,10,6,10
185,4 GUYS SHOP,2,0,2,1,1
186,4 HERMANOS,14,6,8,5,9
187,4 HERMANOS TOO,21,5,16,7,14
188,4 SEASONS,9,2,7,6,3
189,4 SUYOS,11,3,8,8,3
190,"4 YOLKS,INC",23,9,14,7,16
191,404 WINE BAR,5,1,4,4,1
192,40s TF HEALTHY MEDITERRANEAN CUISINE,3,0,3,2,1
193,418 FAMILY CHILDCARE CENTER,6,3,3,3,3
194,42 N LATITUDE,11,4,7,5,6
195,42 grams,9,4,5,3,6
196,4301 ALLSTYLE BUFFET,5,1,4,5,0
197,4319 CITGO INC.,3,0,3,2,1
198,4343 PETES FRESH MARKET,17,6,11,8,9
199,437 RUSH,12,6,6,6,6
200,43RD DAN RYAN CITGO,4,1,3,1,3
201,43RD FOOD & MORE,4,1,3,2,2
202,"4401 FOOD & FUEL, INC.",2,0,2,1,1
203,44TH WHOLESALE & RETAIL,2,0,2,1,1
204,"45TH & CICERO, INC.",2,1,1,2,0
205,45TH FOOD MART,3,0,3,3,0
206,47 MINI MART,7,0,7,4,3
207,4700 PETE'S FRESH MARKET,24,9,15,8,16
208,4744 CORP,4,3,1,1,3
209,47TH &  DAMEN MARTHON,2,1,1,1,1
210,47TH & CALIFORNIA SHELL,2,1,1,1,1
211,47TH CALIFORNIA SHELL,2,0,2,1,1
212,47TH FOOD & TOBACCO,6,1,5,5,1
213,"47TH GROCERY,INC",3,1,2,2,1
214,47TH ST CANTINA,2,0,2,2,0
215,"4884 S ARCHER INC,.",4,0,4,2,2
216,4JS,2,1,1,1,1
217,4LW CAFE,3,2,1,2,1
218,5 BOROUGHS PIZZA & SUBS,11,5,6,5,6
219,5 BROTHERS MARKET,2,0,2,1,1
220,5 Boroughs Pizza Company,4,2,2,3,1
221,"5 GUYS MARKET, INC.",4,1,3,4,0
222,5 PEA'S IN A POD LEARNING ACADEMY LLC.,14,4,10,7,7
223,"5 RABANITOS, INC",15,3,12,8,7
224,5 STAR CHICKEN & FISH,18,8,10,3,15
225,5 STAR CHILDCARE DEVELOPMENT CENTER INC.,8,5,3,4,4
226,"5 STAR GRILL, INC.",3,1,2,2,1
227,5 STAR INDIA,5,2,3,4,1
228,5 STARS FOOD & TOBACCO INC.,2,0,2,1,1
229,5 STARS MINI MART INC,10,2,8,7,3
230,"5 STARS STEAK, FISH & CHICKEN, INC",2,1,1,1,1
231,50 50 GROCERY AND BEAUTY ON MADISON,2,1,1,1,1
232,50 YARD LINE,3,3,0,2,1
233,"50/50 FOOD MART, INC.",5,2,3,3,2
234,"50/50 GROCERY & BEAUTY, INC.",8,2,6,6,2
235,500 DEGREE PIZZERIA,3,1,2,2,1
236,5077 KIKO MEAT MARKET,22,8,14,12,10
237,51ST QUICK MART & CELLULAR,8,4,4,7,1
238,53RD CORNER MART,4,1,3,3,1
239,"53RD FOOD MART, INC",7,4,3,3,4
240,53RD STREET BICYCLE CENTER,3,2,1,2,1
241,53RD STREET MINI MART,6,2,4,4,2
242,54 FOOD & LIQUOR,6,3,3,2,4
243,54 IN & OUT,2,0,2,2,0
244,540 CAFE,12,2,10,7,5
245,5411 EMPANADAS,59,26,33,26,33
246,55TH & DAN RYAN SHELL,2,0,2,2,0
247,55TH GAS STATION,3,2,1,2,1
248,55TH GAS STATION INC.,3,1,2,2,1
249,55TH MAXWELL,13,7,6,9,4
250,55TH SHELL MART,2,1,1,1,1
251,55TH ST HAROLD'S & FRESH LEMONADE,11,4,7,7,4
252,56TH STREET HAROLD'S GRILL AND WAFFLES,5,3,2,3,2
253,57 RIB HOUSE,17,7,10,7,10
254,5747 FOOD AND DELI,2,1,1,1,1
255,57TH FOOD MART,2,1,1,1,1
256,5826 DIVISION FOOD,2,1,1,1,1
257,"59TH FISH & CHICKEN, INC.",5,2,3,4,1
258,59TH QUICK SHOP INC,7,1,6,6,1
259,59TH STREET FOOD MART,6,2,4,3,3
260,59TH STREET MARKET,3,0,3,2,1
261,5G EATERY INC LLC,7,2,5,3,4
262,6 CORNERS,4,0,4,4,0
263,6 DEGREES,23,6,17,14,9
264,6 FIVE CHINESE RESTAURANT,10,2,8,7,3
265,600 Michigan,7,3,4,3,4
266,600 N LAKESHORE DRIVEMART,3,1,2,1,2
267,606 CAFE/BAR,9,4,5,6,3
268,61 ST FOOD MART INC.,2,2,0,1,1
269,"611 S WELLS,  LLC",2,0,2,2,0
270,623 WABASH,5,3,2,3,2
271,623 Wabash,6,1,5,5,1
272,63 BAR & GRILL,17,4,13,10,7
273,63RD & MOZART FOOD MART INC.,2,1,1,1,1
274,63RD AND DREXEL MOBIL,9,4,5,3,6
